id,team1Id,team2Id,matchDate,matchTime,category,scoreTeam1,scoreTeam2,status,game,round,venue,winner,createdOn,updatedOn
1,Virgo,Sagittarius,2025-03-12,1:00 PM,Volleyball (Men),2,0,Completed,1,1,COVERED COURT,team1,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
2,Pisces,Capricorn,2025-03-12,1:00 PM,Volleyball (Men),,,Scheduled,2,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
3,Libra,Taurus,2025-03-12,1:00 PM,Volleyball (Men),,,Scheduled,3,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
4,Scorpio,Leo,2025-03-12,1:00 PM,Volleyball (Men),,,Scheduled,4,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
5,Scorpio,Capricorn,2025-03-12,1:00 PM,Volleyball (Women),,,Scheduled,1,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
6,Virgo,Libra,2025-03-12,1:00 PM,Volleyball (Women),,,Scheduled,2,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
7,Sagittarius,Leo,2025-03-12,1:00 PM,Volleyball (Women),,,Scheduled,3,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
8,Pisces,Taurus,2025-03-12,1:00 PM,Volleyball (Women),,,Scheduled,4,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
9,Virgo,Capricorn,2025-03-13,10:00 AM,Volleyball (Men),,,Scheduled,5,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
10,Pisces,Sagittarius,2025-03-13,10:00 AM,Volleyball (Men),,,Scheduled,6,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
11,Libra,Leo,2025-03-13,TBA,Volleyball (Men),,,Scheduled,7,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
12,Scorpio,Taurus,2025-03-13,TBA,Volleyball (Men),,,Scheduled,8,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
13,Scorpio,Libra,2025-03-13,TBA,Volleyball (Women),,,Scheduled,5,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
14,Virgo,Capricorn,2025-03-13,TBA,Volleyball (Women),,,Scheduled,6,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
15,Sagittarius,Taurus,2025-03-13,TBA,Volleyball (Women),,,Scheduled,7,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
16,Pisces,Leo,2025-03-13,TBA,Volleyball (Women),,,Scheduled,8,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
17,Virgo,Pisces,2025-03-13,TBA,Volleyball (Men),,,Scheduled,9,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
18,Sagittarius,Capricorn,2025-03-13,TBA,Volleyball (Men),,,Scheduled,10,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
19,Scorpio,Virgo,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,9,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
20,Capricorn,Libra,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,10,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
21,Leo,Taurus,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,11,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
